,BEARING,mean_ted,std_ted,freq_ted,island
223,60,0.397584567,0.320426625,2820,HOW
224,70,0.404620674,0.301906659,2822,HOW
225,80,0.387412588,0.306005342,2735,HOW
226,90,0.412453681,0.336575891,2812,HOW
227,100,0.447441279,0.328174414,2924,HOW
228,110,0.528322252,0.413625231,2789,HOW
229,120,0.61602553,0.448660961,2593,HOW
230,130,0.797297002,0.414630365,1372,HOW
231,140,1.139509759,0.476837598,904,HOW
232,150,1.111754544,0.108673911,2558,HOW
233,160,1.285354327,0.350607474,4036,HOW
234,170,1.545273275,0.996625508,5874,HOW
235,180,2.484072463,1.66046481,4371,HOW
236,190,2.080638602,1.752994726,3537,HOW
237,200,1.49743498,1.100111591,3406,HOW
238,210,1.231377846,1.240800456,2588,HOW
239,220,1.016630113,1.155720704,2251,HOW
240,230,0.958673184,1.013654322,1955,HOW
241,240,0.867448668,0.902330451,1848,HOW
242,250,0.628791229,0.505504114,1842,HOW
243,260,0.609711162,0.405091373,1805,HOW
244,270,0.637145942,0.608831842,2159,HOW
245,280,0.521605417,0.474912262,3021,HOW
246,290,0.561466924,0.475003275,3644,HOW
247,300,0.44704796,0.464471883,5269,HOW
248,310,0.423155897,0.43487631,6319,HOW
249,320,0.367917663,0.391054563,6905,HOW
250,330,0.263302913,0.334233351,7929,HOW
251,340,0.273780569,0.318612258,8096,HOW
252,350,0.236392242,0.222981026,7655,HOW
253,0,0.243328428,0.182051107,7457,HOW
254,10,0.243361888,0.178461886,5716,HOW
255,20,0.263966316,0.181633687,4892,HOW
256,30,0.335427699,0.260287183,3510,HOW
257,40,0.359067925,0.318918962,3423,HOW
258,50,0.362616937,0.326062343,3114,HOW
259,60,0.397584567,0.320426625,2820,HOW
260,70,0.404620674,0.301906659,2822,HOW
261,80,0.387412588,0.306005342,2735,HOW
262,90,0.412453681,0.336575891,2812,HOW
263,100,0.447441279,0.328174414,2924,HOW
264,110,0.528322252,0.413625231,2789,HOW
265,120,0.61602553,0.448660961,2593,HOW
266,130,0.797297002,0.414630365,1372,HOW
267,140,1.139509759,0.476837598,904,HOW
268,150,1.111754544,0.108673911,2558,HOW
269,160,1.285354327,0.350607474,4036,HOW
270,170,1.545273275,0.996625508,5874,HOW
271,180,2.484072463,1.66046481,4371,HOW
272,190,2.080638602,1.752994726,3537,HOW
273,200,1.49743498,1.100111591,3406,HOW
274,210,1.231377846,1.240800456,2588,HOW
275,220,1.016630113,1.155720704,2251,HOW
276,230,0.958673184,1.013654322,1955,HOW
277,240,0.867448668,0.902330451,1848,HOW
278,250,0.628791229,0.505504114,1842,HOW
279,260,0.609711162,0.405091373,1805,HOW
