"island","island_messie","lon","lat","type","chl_island","cv_chl","chl_ime","chl_no_ime","months_ime","cv_ime","median_ime_percent","median_chl_percent","max_ime_percent","total_ime_chl_tCm","total_increase_chl_tCm","lat_neg","ime_diff"
"Henderson","Henderson Island",231.67,-24.37,"Island",0.03012677297617,38.3023820156235,0.030201639359196,0.0299021738270919,9,14.1845650359563,5.90919479727745,5.90919479727745,7.79795572161674,0.403192363038714,0.00999057062465496,-24.37,1.00148415240918
"Hereheretue (St. Paul)","Hereheretue (St. Paul)",215.06,-19.87,"Island",0.0430744638045629,19.0882033631751,0.0418524806472388,0.0565162785351276,11,44.8569397705631,7.49790668487549,7.49790668487549,14.3521502614021,0.258060340071312,0.00801566429761154,-19.87,-25.9461490883101
"Hikueru (Melville)","Hikueru (Melville)",217.4,-17.56,"Island",0.0565894224370519,13.0252127783896,0.0555419992241594,0.0597316920757294,9,36.0024627203563,7.36405700445175,7.36405700445175,12.8974497318268,0.156254942457478,0.0041455816305664,-17.56,-7.01418745388649
"Hiti (Ohiti  Clute)","Hiti (Ohiti  Clute)",215.91,-16.71,"Island",0.0707782420019309,9.25695661007159,0.0682188967863719,0.0784562776486079,9,42.2178766875973,17.2627687454224,19.1515944898129,26.8430829048157,0.714721365871254,0.0465202812716016,-16.71,-13.0485171729501
"Hiu (Hiw)","Hiu (Hiw)",166.57,-13.13,"Island",0.0910894783834616,23.1402386074725,0.0891912959516048,0.100580390542746,10,19.2640676499815,16.6710302233696,16.6710302233696,46.042612195015,1.12224161850087,0.062269650574774,-13.13,-11.3233747947126
"Hiva Oa","Hiva Oa",220.98,-9.75,"Island",0.272007593264182,12.8296619791859, ,0.272007593264182,0, , ,109.052914381027,158.78791809082,0,0,-9.75, 
"Houk (Pulusuk)","Houk (Pulusuk)",149.31,6.69,"Island",0.0833086110651493,19.9364916297593,0.0958306360989809,0.0770475985482335,4,21.7734634576971,26.0820865631104,27.5147914886475,38.6194437742233,5.71875311690839,0.424292372010786,-6.69,24.3784853839264
"Howland","Howland Island",183.36,0.8,"Island",0.195785875121752,7.88659855931764,0.195861639454961,0.195634346455336,8,50.8182594118507,7.68847018480301,7.68847018480301,15.2878969907761,11.2377463255228,0.392635996328866,-0.8,0.116182563922689
"Huahine  Fare","Huahine  Fare",208.98,-16.74,"Island",0.0661956146359444,15.1909251800953,0.0603751167654991,0.0667247508059848,1, ,17.4475774168968,17.7997089922428,29.0128171443939,0.0734822157732469,0.00352984971715705,-16.74,-9.51615999128798
"Hunga Tonga","Hunga Tonga",184.61,-20.54,"Island",0.122853957737486,17.4970997612939, ,0.122853957737486,0, , ,50.6919100880623,202.524924278259,0,0,-20.54, 
"Hunter (Fern )","Hunter (Fern Island)",172.05,-22.4,"Island",0.104674097771446,23.8110914210061,0.104170167020389,0.105379600822926,7,31.5679562799806,5.20483516156673,5.78246526420116,40.0302201509476,0.713924814607739,0.0172998156935261,-22.4,-1.14769252596507
"Ifalik","Ifalik",144.46,7.25,"Island",0.076997548652192,23.3506455757136,0.0738805842896302,0.0863484417398771,9,36.0541796044357,12.4492533504963,12.3252410441637,23.0991497635841,2.08482207337464,0.106553826593386,-7.25,-14.439006887705
"Ile Fabre","Ile Fabre",162.97,-18.32,"Island",0.247324723129471,39.1849076310112,0.278012267003457,0.216637179255486,6,33.1675289103849,146.878165006638,146.878165006638,278.865623474121,25.112836167377,3.61692472906444,-18.32,28.3308192799123
"Iles Maria/Maria/Hull","Iles Maria/Maria/Hull Island",205.3,-21.8,"Island",0.03684010480841,24.1073975053888,0.0385114150121808,0.028483553789556,10,52.4416061504226,6.01376239210367,6.01376239210367,15.7023534178734,0.271972595262153,0.00588910166919513,-21.8,35.205793830058
"Isabela (Albemarle)","Isabela (Albemarle)",268.86,-0.83,"Island",2.05930523077647,22.0647212740562,2.05930523077647, ,12,20.4466088811792,566.944336891174,566.944336891174,858.431148529053,363.35280099285,41.1684904785698,-0.83, 
"Iwa","Iwa",151.68,-8.7,"Island",0.154529254262646,13.03259712537,0.159975126385689,0.15063934560333,5,31.5877083161144,10.2782383561134,10.2782383561134,16.0784974694252,0.105082841831449,0.00787283979061851,-8.7,6.19743848791165
"Jabat (Jebat)","Jabat (Jebat)",168.98,7.74,"Island",0.0728967965890964,18.2008660609962,0.0744056041267785,0.056299913674593,11,27.7998471694125,21.2182253599167,21.2960317730904,34.6014589071274,1.71703808774979,0.0742719253589626,-7.74,32.1593573958823
"Jaluit (Jalwoj)","Jaluit (Jalwoj)",169.45,6.01,"Island",0.0895937165866296,20.9554411494379,0.0904267714782195,0.0804301127791405,11,27.4084563589321,19.8648869991302,20.8594374358654,30.0631821155548,1.54245941646337,0.10332527651367,-6.01,12.4289999773215
