species,trophic_guild,genus,subfamily,family,order,class,superclass,diet,position
pseudanthias_heemstrai,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BnthDw
pseudanthias_hiva,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_huchtii,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_hutomoi,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_hypselosoma,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_ignitus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_leucozonus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_lunulatus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_luzonensis,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_manadensis,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_marcia,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_mooreanus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_olivaceus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_pictilis,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_pleurotaenia,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_pulcherrimus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
